,CITY,CRAIGSLIST_SITE,areas
0,"abilene, TX",abilene,
1,akron / canton,akroncanton,
2,"albany, GA",albanyga,
3,"albany, NY",albany,
4,albuquerque,albuquerque,
5,altoona-johnstown,altoona,
6,"amarillo, TX",amarillo,
7,"ames, IA",ames,
8,anchorage / mat-su,anchorage,
9,"annapolis, MD",annapolis,
10,"ann arbor, MI",annarbor,
11,appleton-oshkosh-FDL,appleton,
12,"asheville, NC",asheville,
13,"ashtabula, OH",ashtabula,
14,"athens, GA",athensga,
15,"athens, OH",athensohio,
16,"atlanta, GA",atlanta,"{'atl': 'atlanta', 'nat': 'otp north', 'eat': 'otp east', 'sat': 'otp south', 'wat': 'otp west'}"
17,"auburn, AL",auburn,
18,"augusta, GA",augusta,
19,"austin, TX",austin,
20,"bakersfield, CA",bakersfield,
21,"baltimore, MD",baltimore,
22,baton rouge,batonrouge,
23,"battle creek, MI",battlecreek,
24,beaumont / port arthur,beaumont,
25,"bellingham, WA",bellingham,
26,"bemidji, MN",bemidji,
27,"bend, OR",bend,
28,"billings, MT",billings,
29,"binghamton, NY",binghamton,
30,"birmingham, AL",bham,
31,"bismarck, ND",bismarck,
32,"bloomington, IN",bloomington,
33,bloomington-normal,bn,
34,"boise, ID",boise,
35,"boone, NC",boone,
36,boston,boston,"{'gbs': 'boston/camb/brook', 'nwb': 'northwest/merrimack', 'bmw': 'metro west', 'nos': 'north shore', 'sob': 'south shore'}"
37,"boulder, CO",boulder,
38,"bowling green, KY",bgky,
39,"bozeman, MT",bozeman,
40,"brainerd, MN",brainerd,
41,"brownsville, TX",brownsville,
42,"brunswick, GA",brunswick,
43,"buffalo, NY",buffalo,
44,"butte, MT",butte,
45,cape cod / islands,capecod,
46,catskills,catskills,
47,"cedar rapids, IA",cedarrapids,
48,central louisiana,cenla,
49,central michigan,centralmich,
50,central NJ,cnj,
51,champaign urbana,chambana,
52,"charleston, SC",charleston,
53,"charleston, WV",charlestonwv,
54,"charlotte, NC",charlotte,
55,"charlottesville, VA",charlottesville,
56,"chattanooga, TN",chattanooga,
57,"chautauqua, NY",chautauqua,
58,chicago,chicago,"{'chc': 'city of chicago', 'nch': 'north chicagoland', 'wcl': 'west chicagoland', 'sox': 'south chicagoland', 'nwi': 'northwest indiana', 'nwc': 'northwest suburbs'}"
59,"chico, CA",chico,
60,"chillicothe, OH",chillicothe,
61,"cincinnati, OH",cincinnati,
62,"clarksville, TN",clarksville,
63,"cleveland, OH",cleveland,
64,clovis / portales,clovis,
65,"college station, TX",collegestation,
66,colorado springs,cosprings,
67,columbia / jeff city,columbiamo,
68,"columbia, SC",columbia,
69,"columbus, GA",columbusga,
70,"columbus, OH",columbus,
71,"cookeville, TN",cookeville,
72,"corpus christi, TX",corpuschristi,
73,corvallis/albany,corvallis,
74,cumberland valley,chambersburg,
75,dallas / fort worth,dallas,"{'dal': 'dallas', 'ftw': 'fort worth', 'mdf': 'mid cities', 'ndf': 'north DFW', 'sdf': 'south DFW'}"
76,danville,danville,
77,daytona beach,daytona,
78,dayton / springfield,dayton,
79,"decatur, IL",decatur,
80,deep east texas,nacogdoches,
81,delaware,delaware,
82,del rio / eagle pass,delrio,
83,"denver, CO",denver,
84,"des moines, IA",desmoines,
85,detroit metro,detroit,"{'mcb': 'macomb co', 'wyn': 'wayne co', 'okl': 'oakland co'}"
86,"dothan, AL",dothan,
87,dubuque,dubuque,
88,duluth / superior,duluth,
89,eastern CO,eastco,
90,eastern CT,newlondon,
